16.00,60
22.58,60
29.09,100
34.62,100
38.41,120
43.93,120
53.45,120
64.54,120
79.72,120
87.29,120
96.01,120
100.88,120
101.31,120
104.36,120
116.14,120
124.10,120
111.11,120
96.59,120
82.22,120
70.60,120
58.98,120
49.63,120
38.33,120
32.90,100
24.61,60
18.78,60
16.10,60
14.51,0
13.72,0
13.14,0
13.48,0
15.05,60
14.11,100
15.51,60
2829.89,100
2780.03,60
2784.55,60
26.13,100
30.12,100
38.03,120
47.41,120
53.55,120
61.31,120
71.51,120
81.75,120
104.01,120
2798.07,0
2779.89,0
81.05,120
63.60,120
58.31,120
54.80,120
48.14,120
49.40,120
43.58,120
32.74,100
31.73,100
28.28,100
20.23,60
17.87,60
14.88,0
13.95,0
11.94,0
10.89,0
11.20,0
10.99,0
11.04,0
12.88,0
13.41,100
16.57,60
16.19,60
15.77,60
16.29,60
17.71,60
18.97,60
20.39,60
21.25,60
23.26,60
24.01,60
27.81,100
31.19,100
34.97,100
37.03,60
44.52,60
52.75,120
56.53,120
61.80,120
74.78,120
92.82,120
103.29,120
76.06,120
60.41,120
58.38,120
54.11,120
49.42,120
43.17,120
40.53,120
50.32,120
26.83,100
23.56,60
22.82,60
21.67,60
17.52,60
14.68,0
12.48,0
13.20,0
12.95,100
13.48,100
13.51,0
11.46,0
10.05,0
9.42,60
9.36,60
9.36,60
9.36,60
14.16,60
15.00,60
17.57,60
22.03,60
21.19,60
21.40,60
21.14,60
22.66,60
23.22,60
22.77,60
23.50,60
24.26,60
25.55,100
26.60,100
27.20,100
27.41,100
27.62,100
28.12,100
28.65,100
30.22,100
31.27,100
31.40,100
35.79,60
42.26,60
42.32,120
46.73,120
45.62,60
70.16,120
50.96,120
53.90,120
59.08,120
64.53,120
80.35,120
2796.10,0
2778.25,0
2778.96,0
2780.28,0
2780.07,0
69.29,120
2796.62,0
51.44,120
35.58,120
25.57,100
24.90,60
24.61,60
24.26,60
23.99,60
24.33,60
23.57,60
21.42,60
17.05,60
14.84,0
14.42,100
14.58,100
14.88,100
14.21,100
14.09,100
12.15,0
9.31,0
9.36,100
9.17,60
8.37,60
8.00,100
6.90,100
7.00,0
7.63,100
6.53,100
7.21,100
7.58,100
8.21,100
9.89,100
10.57,100
10.31,100
11.99,100
12.79,100
16.73,60
17.10,60
18.31,60
18.15,60
18.73,60
20.06,60
20.83,60
21.61,60
21.47,60
23.50,60
27.81,100
33.32,100
33.95,100
75.29,120
51.10,120
55.27,120
78.65,120
85.53,120
2797.44,0
2778.61,0
75.39,120
69.30,120
57.56,120
44.59,120
38.12,60
31.06,100
30.17,100
29.38,100
28.23,100
28.12,100
26.60,100
26.18,100
25.43,100
24.66,60
23.87,60
23.24,60
23.19,60
23.54,60
24.03,60
24.29,60
24.34,60
23.89,60
23.77,60
23.99,60
23.14,60
22.80,60
22.30,60
21.82,60
21.40,60
21.35,60
20.51,60
20.04,60
19.46,60
18.88,60
18.36,60
15.52,60
14.77,0
15.19,60
14.93,100
15.05,60
15.61,60
15.73,60
15.00,100
15.05,60
15.63,60
15.93,60
15.16,60
15.05,60
14.00,0
12.51,0
12.67,0
10.57,0
10.20,100
8.31,0
7.67,0
8.21,100
7.53,100
7.46,100
7.53,100
7.47,100
6.95,100
7.16,100
7.21,100
7.53,100
7.63,100
7.11,100
6.69,100
6.42,100
2.15,100
2.59,100
5.48,60
6.63,100
6.67,100
6.63,100
6.63,100
6.53,100
6.58,100
2.70,100
1.79,100
1.79,100
6.11,100
6.63,100
6.58,100
2.96,100
6.95,100
7.00,100
6.53,100
7.74,100
9.26,100
9.57,100
10.62,60
11.38,100
12.11,100
13.20,100
13.46,100
14.25,60
14.46,60
15.03,60
16.45,60
17.10,60
17.89,60
23.87,60
29.56,100
60.45,120
47.32,120
51.68,120
58.87,120
72.42,120
87.66,120
89.46,120
92.65,120
93.21,120
96.36,120
2796.57,0
